EEA_SQUARE;MAPX;MAPY;PARTNER_ID;DATE_YEAR;DATE_WEEK;SPECIES_CD;COMP_LISTS;CASUAL_EV;RECORDS;NUM_COUNTS;MAX_COUNT;AV_COUNT
10kmE320N292;3205000.00;2925000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE320N293;3205000.00;2935000.00;France;2016;38;OENOEN;;2;2;2;3;2.50
10kmE321N292;3215000.00;2925000.00;France;2016;38;OENOEN;;9;14;14;8;3.14
10kmE321N293;3215000.00;2935000.00;France;2016;38;OENOEN;;7;13;13;8;2.38
10kmE322N288;3225000.00;2885000.00;France;2016;38;OENOEN;;2;6;6;2;1.66
10kmE322N291;3225000.00;2915000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE322N292;3225000.00;2925000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE323N287;3235000.00;2875000.00;France;2016;38;OENOEN;;2;2;2;3;2.00
10kmE323N292;3235000.00;2925000.00;France;2016;38;OENOEN;;1;2;2;4;2.50
10kmE323N293;3235000.00;2935000.00;France;2016;38;OENOEN;;4;5;5;19;9.60
10kmE324N289;3245000.00;2895000.00;France;2016;38;OENOEN;;1;2;2;7;5.00
10kmE324N290;3245000.00;2905000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE324N291;3245000.00;2915000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE324N293;3245000.00;2935000.00;France;2016;38;OENOEN;;3;8;8;6;3.12
10kmE325N284;3255000.00;2845000.00;France;2016;38;OENOEN;;5;7;7;20;5.57
10kmE325N285;3255000.00;2855000.00;France;2016;38;OENOEN;;7;9;9;15;6.11
10kmE325N286;3255000.00;2865000.00;France;2016;38;OENOEN;;3;4;4;6;2.25
10kmE325N294;3255000.00;2945000.00;France;2016;38;OENOEN;;7;12;12;7;2.08
10kmE326N284;3265000.00;2845000.00;France;2016;38;OENOEN;;1;2;2;4;3.00
10kmE326N285;3265000.00;2855000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE326N289;3265000.00;2895000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE326N293;3265000.00;2935000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE327N284;3275000.00;2845000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE327N289;3275000.00;2895000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE327N293;3275000.00;2935000.00;France;2016;38;OENOEN;;4;4;4;3;1.75
10kmE327N294;3275000.00;2945000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE328N283;3285000.00;2835000.00;France;2016;38;OENOEN;;1;1;1;5;5.00
10kmE328N284;3285000.00;2845000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE329N292;3295000.00;2925000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE330N283;3305000.00;2835000.00;France;2016;38;OENOEN;;2;3;3;5;2.66
10kmE330N293;3305000.00;2935000.00;France;2016;38;OENOEN;;5;5;5;3;1.80
10kmE331N281;3315000.00;2815000.00;France;2016;38;OENOEN;;2;4;4;20;6.00
10kmE331N282;3315000.00;2825000.00;France;2016;38;OENOEN;;2;2;2;3;3.00
10kmE331N293;3315000.00;2935000.00;France;2016;38;OENOEN;;2;3;3;7;3.33
10kmE331N294;3315000.00;2945000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE332N282;3325000.00;2825000.00;France;2016;38;OENOEN;;4;4;4;2;1.75
10kmE332N283;3325000.00;2835000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE333N280;3335000.00;2805000.00;France;2016;38;OENOEN;;4;7;7;50;16.28
10kmE333N281;3335000.00;2815000.00;France;2016;38;OENOEN;;9;18;18;64;10.61
10kmE333N294;3335000.00;2945000.00;France;2016;38;OENOEN;;3;3;3;3;1.66
10kmE334N280;3345000.00;2805000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE334N291;3345000.00;2915000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE335N277;3355000.00;2775000.00;France;2016;38;OENOEN;;1;2;2;2;2.00
10kmE335N280;3355000.00;2805000.00;France;2016;38;OENOEN;;4;4;4;2;1.50
10kmE335N294;3355000.00;2945000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE336N280;3365000.00;2805000.00;France;2016;38;OENOEN;;1;2;2;4;2.50
10kmE336N293;3365000.00;2935000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE337N232;3375000.00;2325000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE337N270;3375000.00;2705000.00;France;2016;38;OENOEN;;4;13;13;8;3.76
10kmE337N276;3375000.00;2765000.00;France;2016;38;OENOEN;;3;4;4;2;1.25
10kmE337N279;3375000.00;2795000.00;France;2016;38;OENOEN;;3;3;3;10;4.66
10kmE337N280;3375000.00;2805000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE337N292;3375000.00;2925000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE337N293;3375000.00;2935000.00;France;2016;38;OENOEN;;2;4;4;1;1.00
10kmE338N232;3385000.00;2325000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE338N233;3385000.00;2335000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE338N269;3385000.00;2695000.00;France;2016;38;OENOEN;;2;4;4;11;6.00
10kmE338N270;3385000.00;2705000.00;France;2016;38;OENOEN;;3;3;3;2;1.66
10kmE338N273;3385000.00;2735000.00;France;2016;38;OENOEN;;3;4;4;3;2.00
10kmE338N276;3385000.00;2765000.00;France;2016;38;OENOEN;;3;3;3;2;1.33
10kmE338N277;3385000.00;2775000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE338N279;3385000.00;2795000.00;France;2016;38;OENOEN;;6;8;8;15;4.62
10kmE338N290;3385000.00;2905000.00;France;2016;38;OENOEN;;4;4;4;4;2.50
10kmE339N232;3395000.00;2325000.00;France;2016;38;OENOEN;2;5;12;12;10;3.33
10kmE339N233;3395000.00;2335000.00;France;2016;38;OENOEN;;7;10;10;5;1.90
10kmE339N234;3395000.00;2345000.00;France;2016;38;OENOEN;;2;3;3;3;2.00
10kmE339N271;3395000.00;2715000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE339N272;3395000.00;2725000.00;France;2016;38;OENOEN;;7;10;10;10;3.20
10kmE339N276;3395000.00;2765000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE339N279;3395000.00;2795000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE340N232;3405000.00;2325000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE340N234;3405000.00;2345000.00;France;2016;38;OENOEN;;4;4;4;4;2.25
10kmE340N269;3405000.00;2695000.00;France;2016;38;OENOEN;;2;2;2;2;1.50
10kmE340N270;3405000.00;2705000.00;France;2016;38;OENOEN;;2;2;2;3;2.50
10kmE340N271;3405000.00;2715000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE341N231;3415000.00;2315000.00;France;2016;38;OENOEN;;2;3;3;3;2.00
10kmE341N237;3415000.00;2375000.00;France;2016;38;OENOEN;;2;2;2;17;17.00
10kmE341N266;3415000.00;2665000.00;France;2016;38;OENOEN;;2;2;2;6;6.00
10kmE341N268;3415000.00;2685000.00;France;2016;38;OENOEN;;3;3;3;6;3.33
10kmE341N269;3415000.00;2695000.00;France;2016;38;OENOEN;;12;14;14;4;1.78
10kmE341N270;3415000.00;2705000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE341N272;3415000.00;2725000.00;France;2016;38;OENOEN;;3;6;6;2;1.16
10kmE341N273;3415000.00;2735000.00;France;2016;38;OENOEN;;3;3;3;4;2.00
10kmE341N276;3415000.00;2765000.00;France;2016;38;OENOEN;;2;2;2;4;2.50
10kmE342N228;3425000.00;2285000.00;France;2016;38;OENOEN;;3;3;3;20;8.33
10kmE342N241;3425000.00;2415000.00;France;2016;38;OENOEN;;2;2;2;4;3.50
10kmE342N244;3425000.00;2445000.00;France;2016;38;OENOEN;;1;1;1;9;9.00
10kmE342N245;3425000.00;2455000.00;France;2016;38;OENOEN;;1;1;1;8;8.00
10kmE342N276;3425000.00;2765000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE343N233;3435000.00;2335000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE343N241;3435000.00;2415000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE343N245;3435000.00;2455000.00;France;2016;38;OENOEN;2;;2;2;1;1.00
10kmE343N246;3435000.00;2465000.00;France;2016;38;OENOEN;1;2;3;3;16;6.00
10kmE343N247;3435000.00;2475000.00;France;2016;38;OENOEN;2;1;3;3;4;2.00
10kmE343N263;3435000.00;2635000.00;France;2016;38;OENOEN;;3;3;3;10;4.66
10kmE343N265;3435000.00;2655000.00;France;2016;38;OENOEN;;3;3;3;16;6.33
10kmE343N266;3435000.00;2665000.00;France;2016;38;OENOEN;1;2;4;4;10;4.75
10kmE343N269;3435000.00;2695000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE343N275;3435000.00;2755000.00;France;2016;38;OENOEN;;1;2;2;2;1.50
10kmE344N240;3445000.00;2405000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE344N241;3445000.00;2415000.00;France;2016;38;OENOEN;;1;1;1;3;3.00
10kmE344N245;3445000.00;2455000.00;France;2016;38;OENOEN;;8;11;11;5;2.45
10kmE344N246;3445000.00;2465000.00;France;2016;38;OENOEN;2;6;8;8;8;2.37
10kmE344N247;3445000.00;2475000.00;France;2016;38;OENOEN;1;1;2;2;3;2.50
10kmE344N248;3445000.00;2485000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE344N249;3445000.00;2495000.00;France;2016;38;OENOEN;;1;1;1;8;8.00
10kmE344N250;3445000.00;2505000.00;France;2016;38;OENOEN;;2;2;2;3;2.00
10kmE344N261;3445000.00;2615000.00;France;2016;38;OENOEN;1;4;7;7;5;2.14
10kmE344N264;3445000.00;2645000.00;France;2016;38;OENOEN;;2;2;2;4;2.50
10kmE344N265;3445000.00;2655000.00;France;2016;38;OENOEN;;2;4;4;10;3.75
10kmE344N279;3445000.00;2795000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE344N284;3445000.00;2845000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE345N236;3455000.00;2365000.00;France;2016;38;OENOEN;;2;2;2;2;1.50
10kmE345N239;3455000.00;2395000.00;France;2016;38;OENOEN;;2;4;4;4;2.25
10kmE345N241;3455000.00;2415000.00;France;2016;38;OENOEN;;1;3;3;2;1.66
10kmE345N242;3455000.00;2425000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE345N246;3455000.00;2465000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE345N247;3455000.00;2475000.00;France;2016;38;OENOEN;1;1;2;2;2;2.00
10kmE345N259;3455000.00;2595000.00;France;2016;38;OENOEN;;1;2;2;2;1.50
10kmE345N260;3455000.00;2605000.00;France;2016;38;OENOEN;;2;3;3;5;3.00
10kmE345N262;3455000.00;2625000.00;France;2016;38;OENOEN;;6;9;9;15;4.11
10kmE345N263;3455000.00;2635000.00;France;2016;38;OENOEN;;3;3;3;10;4.00
10kmE345N264;3455000.00;2645000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE345N265;3455000.00;2655000.00;France;2016;38;OENOEN;;1;1;1;5;5.00
10kmE345N266;3455000.00;2665000.00;France;2016;38;OENOEN;;2;2;2;4;2.50
10kmE345N291;3455000.00;2915000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE346N239;3465000.00;2395000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE346N241;3465000.00;2415000.00;France;2016;38;OENOEN;;1;2;2;2;1.50
10kmE346N257;3465000.00;2575000.00;France;2016;38;OENOEN;;3;6;6;2;1.16
10kmE346N258;3465000.00;2585000.00;France;2016;38;OENOEN;;12;18;18;4;1.50
10kmE346N259;3465000.00;2595000.00;France;2016;38;OENOEN;;8;11;11;2;1.18
10kmE346N260;3465000.00;2605000.00;France;2016;38;OENOEN;;2;2;2;2;1.50
10kmE346N261;3465000.00;2615000.00;France;2016;38;OENOEN;;2;3;3;1;1.00
10kmE346N262;3465000.00;2625000.00;France;2016;38;OENOEN;;1;1;1;9;9.00
10kmE346N263;3465000.00;2635000.00;France;2016;38;OENOEN;1;5;7;7;8;3.57
10kmE346N264;3465000.00;2645000.00;France;2016;38;OENOEN;;2;4;4;1;1.00
10kmE346N265;3465000.00;2655000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE346N290;3465000.00;2905000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE347N228;3475000.00;2285000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE347N229;3475000.00;2295000.00;France;2016;38;OENOEN;1;;1;1;1;1.00
10kmE347N231;3475000.00;2315000.00;France;2016;38;OENOEN;;3;3;3;4;2.66
10kmE347N240;3475000.00;2405000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE347N258;3475000.00;2585000.00;France;2016;38;OENOEN;;5;13;13;3;1.15
10kmE347N259;3475000.00;2595000.00;France;2016;38;OENOEN;;4;6;6;2;1.33
10kmE347N260;3475000.00;2605000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE347N263;3475000.00;2635000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE347N265;3475000.00;2655000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE347N268;3475000.00;2685000.00;France;2016;38;OENOEN;;1;1;1;3;3.00
10kmE347N291;3475000.00;2915000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE348N245;3485000.00;2455000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE348N252;3485000.00;2525000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE348N259;3485000.00;2595000.00;France;2016;38;OENOEN;;1;3;3;1;1.00
10kmE348N284;3485000.00;2845000.00;France;2016;38;OENOEN;;2;2;2;3;2.00
10kmE349N257;3495000.00;2575000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE349N263;3495000.00;2635000.00;France;2016;38;OENOEN;;3;3;3;4;2.66
10kmE349N272;3495000.00;2725000.00;France;2016;38;OENOEN;;1;1;1;3;3.00
10kmE349N280;3495000.00;2805000.00;France;2016;38;OENOEN;1;;1;1;1;1.00
10kmE349N287;3495000.00;2875000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE350N228;3505000.00;2285000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE350N252;3505000.00;2525000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE350N253;3505000.00;2535000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE350N254;3505000.00;2545000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE350N263;3505000.00;2635000.00;France;2016;38;OENOEN;;3;4;4;2;1.75
10kmE350N269;3505000.00;2695000.00;France;2016;38;OENOEN;;2;2;2;1;1.00
10kmE350N271;3505000.00;2715000.00;France;2016;38;OENOEN;;2;2;2;2;1.50
10kmE350N278;3505000.00;2785000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE350N279;3505000.00;2795000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE350N281;3505000.00;2815000.00;France;2016;38;OENOEN;1;;1;1;1;1.00
10kmE351N252;3515000.00;2525000.00;France;2016;38;OENOEN;;1;1;1;3;3.00
10kmE351N270;3515000.00;2705000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE352N254;3525000.00;2545000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE352N261;3525000.00;2615000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
10kmE352N262;3525000.00;2625000.00;France;2016;38;OENOEN;;2;2;2;6;3.50
10kmE352N275;3525000.00;2755000.00;France;2016;38;OENOEN;;1;1;1;1;1.00
10kmE352N280;3525000.00;2805000.00;France;2016;38;OENOEN;;1;1;1;2;2.00
