chunkBeg;chunkEnd;altitudeBinBeg;altitudeBinEnd;sumOfMTRfactors;N;timChunkDurationSec;totDPZT_sec;obs_sec;obs_h;MTR;propTimeObserved;dayOrNight
01.09.2016 00:00;01.09.2016 01:00;50;1500;212.5190991;33;3600;1915;1685;0.468055556;454.04674;0.47;
01.09.2016 01:00;01.09.2016 02:00;50;1500;576.3204023;65;3600;1907;1693;0.470277778;1225.489337;0.47;
01.09.2016 02:00;01.09.2016 03:00;50;1500;698.2435218;63;3600;1919;1681;0.466944444;1495.346031;0.47;
01.09.2016 03:00;01.09.2016 04:00;50;1500;246.7863633;37;3600;1918;1682;0.467222222;528.1991128;0.47;
01.09.2016 04:00;01.09.2016 05:00;50;1500;295.0089185;47;3600;1915;1685;0.468055556;630.2861166;0.47;
01.09.2016 05:00;01.09.2016 06:00;50;1500;139.7452382;24;3600;1917;1683;0.4675;298.9202956;0.47;
01.09.2016 06:00;01.09.2016 07:00;50;1500;80.83584846;15;3600;1917;1683;0.4675;172.9109058;0.47;
01.09.2016 07:00;01.09.2016 08:00;50;1500;46.88367706;8;3600;1916;1684;0.467777778;100.226388;0.47;
01.09.2016 08:00;01.09.2016 09:00;50;1500;18.87078056;3;3600;1959;1641;0.455833333;41.39842171;0.46;
01.09.2016 09:00;01.09.2016 10:00;50;1500;69.12814229;9;3600;1918;1682;0.467222222;147.9555959;0.47;
01.09.2016 10:00;01.09.2016 11:00;50;1500;19.77149435;2;3600;1917;1683;0.4675;42.29196653;0.47;
01.09.2016 11:00;01.09.2016 12:00;50;1500;10.28558822;2;3600;1919;1681;0.466944444;22.02743463;0.47;
01.09.2016 12:00;01.09.2016 13:00;50;1500;14.29848963;2;3600;1915;1685;0.468055556;30.54870189;0.47;
01.09.2016 13:00;01.09.2016 14:00;50;1500;26.23240511;1;3600;1916;1684;0.467777778;56.07877577;0.47;
01.09.2016 14:00;01.09.2016 15:00;50;1500;5.46612135;1;3600;1918;1682;0.467222222;11.69918957;0.47;
01.09.2016 15:00;01.09.2016 16:00;50;1500;23.40827127;3;3600;1930;1670;0.463888889;50.46094405;0.46;
01.09.2016 16:00;01.09.2016 17:00;50;1500;169.4026347;16;3600;1917;1683;0.4675;362.3585769;0.47;
01.09.2016 17:00;01.09.2016 18:00;50;1500;119.5083263;17;3600;1917;1683;0.4675;255.6327835;0.47;
01.09.2016 18:00;01.09.2016 19:00;50;1500;84.91854691;7;3600;1917;1683;0.4675;181.6439506;0.47;
01.09.2016 19:00;01.09.2016 20:00;50;1500;220.0530789;31;3600;1916;1684;0.467777778;470.4222588;0.47;
01.09.2016 20:00;01.09.2016 21:00;50;1500;422.5755856;70;3600;1916;1684;0.467777778;903.3682353;0.47;
01.09.2016 21:00;01.09.2016 22:00;50;1500;347.9893669;70;3600;1918;1682;0.467222222;744.804828;0.47;
01.09.2016 22:00;01.09.2016 23:00;50;1500;475.3759531;83;3600;1920;1680;0.466666667;1018.662757;0.47;
01.09.2016 23:00;02.09.2016 00:00;50;1500;436.1194445;82;3600;1921;1679;0.466388889;935.098273;0.47;
02.09.2016 00:00;02.09.2016 01:00;50;1500;506.9341091;86;3600;1919;1681;0.466944444;1085.641162;0.47;
02.09.2016 01:00;02.09.2016 02:00;50;1500;459.8251528;75;3600;1904;1696;0.471111111;976.0439564;0.47;
02.09.2016 02:00;02.09.2016 03:00;50;1500;378.880654;43;3600;1917;1683;0.4675;810.4399017;0.47;
02.09.2016 03:00;02.09.2016 04:00;50;1500;180.7045822;23;3600;1919;1681;0.466944444;386.9937513;0.47;
02.09.2016 04:00;02.09.2016 05:00;50;1500;177.4863489;29;3600;1905;1695;0.470833333;376.962157;0.47;
02.09.2016 05:00;02.09.2016 06:00;50;1500;116.0195136;18;3600;1917;1683;0.4675;248.1700825;0.47;
02.09.2016 06:00;02.09.2016 07:00;50;1500;216.6754916;36;3600;1905;1695;0.470833333;460.1957344;0.47;
02.09.2016 07:00;02.09.2016 08:00;50;1500;70.5132627;10;3600;1919;1681;0.466944444;151.0099618;0.47;
02.09.2016 08:00;02.09.2016 09:00;50;1500;127.5637117;17;3600;1959;1641;0.455833333;279.8472651;0.46;
02.09.2016 09:00;02.09.2016 10:00;50;1500;19.55019288;5;3600;1920;1680;0.466666667;41.89327045;0.47;
02.09.2016 10:00;02.09.2016 11:00;50;1500;47.13324005;9;3600;1919;1681;0.466944444;100.939717;0.47;
02.09.2016 11:00;02.09.2016 12:00;50;1500;64.26698408;7;3600;1891;1709;0.474722222;135.3780823;0.47;
02.09.2016 12:00;02.09.2016 13:00;50;1500;17.52818742;3;3600;1918;1682;0.467222222;37.51574002;0.47;
02.09.2016 13:00;02.09.2016 14:00;50;1500;13.0118055;2;3600;1918;1682;0.467222222;27.84928644;0.47;
02.09.2016 14:00;02.09.2016 15:00;50;1500;16.64946432;1;3600;1905;1695;0.470833333;35.36169412;0.47;
02.09.2016 15:00;02.09.2016 16:00;50;1500;95.17736874;11;3600;1906;1694;0.470555556;202.2659548;0.47;
02.09.2016 16:00;02.09.2016 17:00;50;1500;95.90090671;10;3600;1905;1695;0.470833333;203.6833417;0.47;
02.09.2016 17:00;02.09.2016 18:00;50;1500;27.88544083;5;3600;1920;1680;0.466666667;59.75451606;0.47;
02.09.2016 18:00;02.09.2016 19:00;50;1500;27.24633667;2;3600;1918;1682;0.467222222;58.31558384;0.47;
02.09.2016 19:00;02.09.2016 20:00;50;1500;189.4404087;26;3600;1919;1681;0.466944444;405.7022435;0.47;
02.09.2016 20:00;02.09.2016 21:00;50;1500;435.9589003;68;3600;1903;1697;0.471388889;924.8391522;0.47;
02.09.2016 21:00;02.09.2016 22:00;50;1500;387.5407713;62;3600;1908;1692;0.47;824.5548326;0.47;
02.09.2016 22:00;02.09.2016 23:00;50;1500;402.9571094;77;3600;1917;1683;0.4675;861.9403409;0.47;
02.09.2016 23:00;03.09.2016 00:00;50;1500;254.3598808;43;3600;1903;1697;0.471388889;539.5966829;0.47;
03.09.2016 00:00;03.09.2016 01:00;50;1500;319.0224573;54;3600;1923;1677;0.465833333;684.8424844;0.47;
