date,m3sigma,m2sigma,m1sigma,est,p1sigma,p2sigma,p3sigma
2016-09-18 12:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 12:15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 12:30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 12:45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 13:15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 13:30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 13:45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 14:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 14:15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 14:30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 14:45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 15:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 15:15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 15:30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 15:45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 16:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 16:15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 16:30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 16:45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 17:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 17:15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 17:30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 17:45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-18 18:00,0.000216687279780144,0.0178746653125329,0.341612399271891,2.89499979540948,14.5677180414559,55.8261362791105,179.424289739188
2016-09-18 18:15,0.00244809333842326,0.0657811815449516,0.762588932981941,4.88512707420106,20.603711235257,69.6726062269337,204.336749782496
2016-09-18 18:30,0.0107969341172996,0.156046669034407,1.3096920174998,6.89601399554629,25.5167525841409,78.425152414444,213.686734279149
2016-09-18 18:45,0.0287812874299194,0.282190454212197,1.88918289893054,8.60854814062025,28.7987514419939,82.0909050444309,210.671516251411
2016-09-18 19:00,0.056669294597046,0.426772708745142,2.41796514048024,9.86727006388246,30.4888779517643,81.7676383146981,199.874295496675
2016-09-18 19:15,0.0915959950268329,0.57103114790404,2.84826838269963,10.6660098909604,30.9302584961907,78.9096077433966,185.357965559499
2016-09-18 19:30,0.129219610856078,0.700854804899011,3.16711659898663,11.0875221109511,30.5616274740777,74.8489247769011,170.205702185666
2016-09-18 19:45,0.165200010649713,0.807769538650642,3.3842164354379,11.2454455254731,29.7834981418888,70.5917695290699,156.416008504563
