id,name,lat,lon
12,"48.38, -5.13",48.375,-5.125
36,"47.88, -4.63",47.875,-4.625
37,"48.38, -4.63",48.375,-4.625
38,"48.88, -4.63",48.875,-4.625
61,"47.88, -4.13",47.875,-4.125
62,"48.38, -4.13",48.375,-4.125
63,"48.88, -4.13",48.875,-4.125
85,"47.38, -3.63",47.375,-3.625
86,"47.88, -3.63",47.875,-3.625
87,"48.38, -3.63",48.375,-3.625
88,"48.88, -3.63",48.875,-3.625
110,"47.38, -3.13",47.375,-3.125
111,"47.88, -3.13",47.875,-3.125
112,"48.38, -3.13",48.375,-3.125
113,"48.88, -3.13",48.875,-3.125
126,"42.88, -2.63",42.875,-2.625
127,"43.38, -2.63",43.375,-2.625
135,"47.38, -2.63",47.375,-2.625
136,"47.88, -2.63",47.875,-2.625
137,"48.38, -2.63",48.375,-2.625
138,"48.88, -2.63",48.875,-2.625
151,"42.88, -2.13",42.875,-2.125
152,"43.38, -2.13",43.375,-2.125
158,"46.38, -2.13",46.375,-2.125
159,"46.88, -2.13",46.875,-2.125
160,"47.38, -2.13",47.375,-2.125
161,"47.88, -2.13",47.875,-2.125
162,"48.38, -2.13",48.375,-2.125
163,"48.88, -2.13",48.875,-2.125
164,"49.38, -2.13",49.375,-2.125
176,"42.88, -1.63",42.875,-1.625
177,"43.38, -1.63",43.375,-1.625
178,"43.88, -1.63",43.875,-1.625
179,"44.38, -1.63",44.375,-1.625
182,"45.88, -1.63",45.875,-1.625
183,"46.38, -1.63",46.375,-1.625
184,"46.88, -1.63",46.875,-1.625
185,"47.38, -1.63",47.375,-1.625
186,"47.88, -1.63",47.875,-1.625
187,"48.38, -1.63",48.375,-1.625
188,"48.88, -1.63",48.875,-1.625
189,"49.38, -1.63",49.375,-1.625
190,"49.88, -1.63",49.875,-1.625
201,"42.88, -1.13",42.875,-1.125
202,"43.38, -1.13",43.375,-1.125
203,"43.88, -1.13",43.875,-1.125
204,"44.38, -1.13",44.375,-1.125
